employer,job_title,job_year_begin,job_year_end,reason_end,full_name,birthdate,deathdate,birthplace,birthyear,deathyear,nth_job,bachelors_year,masters_year,phd_year,bachelors_age,masters_age,phd_age
Washburn College,Assistant Professor,1913,1921,Dissatisfaction with subordinate position,Mary Frances Winston Newson,"August 7, 1869","December 5, 1959","Forreston, Illinois",1869,1959.0,4,1889.0,,1897.0,20.0,,28.0
Eureka College,Head of Mathematics Department,1921,1942,Mandatory retirement policy,Mary Frances Winston Newson,"August 7, 1869","December 5, 1959","Forreston, Illinois",1869,1959.0,5,1889.0,,1897.0,20.0,,28.0
Lawrence High School,Teacher,1890,1892,Continued studies,Annie Louise MacKinnon Fitch,"June 1, 1868","September 12, 1940","Woodstock, Ontario, Canada",1868,1940.0,1,1889.0,1891.0,1894.0,21.0,23.0,26.0
Wells College,Professor of Mathematics,1896,1901,Marriage,Annie Louise MacKinnon Fitch,"June 1, 1868","September 12, 1940","Woodstock, Ontario, Canada",1868,1940.0,2,1889.0,1891.0,1894.0,21.0,23.0,26.0
University of Rochester,Instructor of Mathematics,1926,1928,Began association with Hunter College,R. Lucile Anderson,"October 22, 1900","February 18, 1999","Jamestown, New York",1900,1999.0,1,1922.0,,1930.0,22.0,,30.0
Hunter College,Instructor,1930,1936,Promoted to Assistant Professor,R. Lucile Anderson,"October 22, 1900","February 18, 1999","Jamestown, New York",1900,1999.0,2,1922.0,,1930.0,22.0,,30.0
Hunter College,Assistant Professor,1936,1956,Promoted to Associate Professor,R. Lucile Anderson,"October 22, 1900","February 18, 1999","Jamestown, New York",1900,1999.0,3,1922.0,,1930.0,22.0,,30.0
Hunter College,Associate Professor,1956,1971,Retired,R. Lucile Anderson,"October 22, 1900","February 18, 1999","Jamestown, New York",1900,1999.0,4,1922.0,,1930.0,22.0,,30.0
Ogontz School,Teacher,1935,1936,,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0,1,1930.0,1931.0,1934.0,22.0,23.0,26.0
Wykeham Rise School,Teacher,1936,1938,,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0,2,1930.0,1931.0,1934.0,22.0,23.0,26.0
US Bureau of the Budget,Statistical Consultant,1938,1940,,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0,3,1930.0,1931.0,1934.0,22.0,23.0,26.0
US Bureau of the Budget,Economist,1940,1944,,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0,4,1930.0,1931.0,1934.0,22.0,23.0,26.0
US Bureau of the Census,Mathematical Statistician,1944,1973,Retirement,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0,5,1930.0,1931.0,1934.0,22.0,23.0,26.0
Stanford University,Visiting Lecturer,1952,1952,,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0,6,1930.0,1931.0,1934.0,22.0,23.0,26.0
"Bureau of Labor Statistics, US Department of Labor",Consultant,1961,1971,,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0,7,1930.0,1931.0,1934.0,22.0,23.0,26.0
US Agency for International Development,Consultant,1962,1976,,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0,8,1930.0,1931.0,1934.0,22.0,23.0,26.0
University of Texas,Graduate Student and Tutor in Mathematics,1901,1905,Absent on leave for further studies,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0,1,1897.0,1898.0,1913.0,20.0,21.0,36.0
Woman’s College of Baltimore (Goucher College),Instructor,1908,1912,Promotion,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0,2,1897.0,1898.0,1913.0,20.0,21.0,36.0
Woman’s College of Baltimore (Goucher College),Assistant Professor,1912,1914,Promotion,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0,3,1897.0,1898.0,1913.0,20.0,21.0,36.0
Woman’s College of Baltimore (Goucher College),Associate Professor,1914,1922,Promotion,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0,4,1897.0,1898.0,1913.0,20.0,21.0,36.0
Woman’s College of Baltimore (Goucher College),Professor,1922,1947,Retirement,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0,5,1897.0,1898.0,1913.0,20.0,21.0,36.0
Wellesley College,Exchange Professor,1918,1919,End of exchange program,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0,6,1897.0,1898.0,1913.0,20.0,21.0,36.0
Smith College,Instructor,1924,1927,Marriage,Bess Marie Allen (Eversull),"May 18, 1899","March 18, 1978","Elmwood Place, Ohio",1899,1978.0,1,1921.0,1922.0,1924.0,22.0,23.0,25.0
Jam Handy Organization,Mathematician,1942,1943,End of World War II work,Bess Marie Allen (Eversull),"May 18, 1899","March 18, 1978","Elmwood Place, Ohio",1899,1978.0,2,1921.0,1922.0,1924.0,22.0,23.0,25.0
Wayne University (Wayne State University),Regular Substitute Instructor,1947,1948,Promotion,Bess Marie Allen (Eversull),"May 18, 1899","March 18, 1978","Elmwood Place, Ohio",1899,1978.0,3,1921.0,1922.0,1924.0,22.0,23.0,25.0
Wayne University (Wayne State University),Instructor,1948,1950,Promotion,Bess Marie Allen (Eversull),"May 18, 1899","March 18, 1978","Elmwood Place, Ohio",1899,1978.0,4,1921.0,1922.0,1924.0,22.0,23.0,25.0
Wayne University (Wayne State University),Assistant Professor,1950,1959,Promotion,Bess Marie Allen (Eversull),"May 18, 1899","March 18, 1978","Elmwood Place, Ohio",1899,1978.0,5,1921.0,1922.0,1924.0,22.0,23.0,25.0
Wayne University (Wayne State University),Associate Professor,1959,1964,Retirement,Bess Marie Allen (Eversull),"May 18, 1899","March 18, 1978","Elmwood Place, Ohio",1899,1978.0,6,1921.0,1922.0,1924.0,22.0,23.0,25.0
Detroit Institute of Technology,Instructor,1964,Late 1960s,End of employment,Bess Marie Allen (Eversull),"May 18, 1899","March 18, 1978","Elmwood Place, Ohio",1899,1978.0,7,1921.0,1922.0,1924.0,22.0,23.0,25.0
"H. Sophie Newcomb College, Tulane University",Assistant Professor,1930,1936,Left for Bryn Mawr College in 1934-35 and then returned to Newcomb,Marie Johanna Weiss,"September 21, 1903","August 19, 1952","Eugene, California",1903,1952.0,1,1925.0,1926.0,1928.0,22.0,23.0,25.0
Bryn Mawr College,Emmy Noether Scholar and Resident Scholar in Mathematics,1934,1935,Returned to Newcomb College,Marie Johanna Weiss,"September 21, 1903","August 19, 1952","Eugene, California",1903,1952.0,2,1925.0,1926.0,1928.0,22.0,23.0,25.0
Vassar College,Assistant Professor,1936,1938,Returned to Newcomb College as Professor and Chair,Marie Johanna Weiss,"September 21, 1903","August 19, 1952","Eugene, California",1903,1952.0,3,1925.0,1926.0,1928.0,22.0,23.0,25.0
"H. Sophie Newcomb College, Tulane University",Professor and Chair,1938,1952,Death,Marie Johanna Weiss,"September 21, 1903","August 19, 1952","Eugene, California",1903,1952.0,4,1925.0,1926.0,1928.0,22.0,23.0,25.0
Mount Hermon School,Instructor of Mathematics,1915,1918,Moved to National Bureau of Standards,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0,1,1914.0,1915.0,1921.0,24.0,25.0,31.0
National Bureau of Standards,Laboratory Assistant,1918,1919,"Moved to Berkeley, California",Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0,2,1914.0,1915.0,1921.0,24.0,25.0,31.0
University of California,Assistant in Mathematics,1919,1921,Completed PhD,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0,3,1914.0,1915.0,1921.0,24.0,25.0,31.0
Mills College,Instructor of Mathematics and Physics,1921,1922,Promoted to Assistant Professor,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0,4,1914.0,1915.0,1921.0,24.0,25.0,31.0
Mills College,Assistant Professor,1922,1926,Promoted to Associate Professor,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0,5,1914.0,1915.0,1921.0,24.0,25.0,31.0
Mills College,Associate Professor,1926,1934,Resigned,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0,6,1914.0,1915.0,1921.0,24.0,25.0,31.0
John Brown University,Professor of Mathematics and Physics,1932,1933,Returned to Mills College,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0,7,1914.0,1915.0,1921.0,24.0,25.0,31.0
Drew School,Teacher,1940,1942,Moved to John Brown University,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0,8,1914.0,1915.0,1921.0,24.0,25.0,31.0
John Brown University,Professor of Mathematics and Physics,1942,1943,Moved to West Liberty State College,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0,9,1914.0,1915.0,1921.0,24.0,25.0,31.0
West Liberty State College,Teacher,1943,1945,Returned to National Bureau of Standards,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0,10,1914.0,1915.0,1921.0,24.0,25.0,31.0
National Bureau of Standards,Mathematician,1945,,,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0,11,1914.0,1915.0,1921.0,24.0,25.0,31.0
Indiana University,Part-time Instructor,1926,1929,Completed graduate studies,Irene Price,"January 16, 1902","March 13, 1999","Parr, Indiana",1902,1999.0,1,1926.0,1927.0,1932.0,24.0,25.0,30.0
Oshkosh Teachers College,Professor of Mathematics,1929,1944,Moved to work for US Air Force,Irene Price,"January 16, 1902","March 13, 1999","Parr, Indiana",1902,1999.0,2,1926.0,1927.0,1932.0,24.0,25.0,30.0
US Air Force,Statistician,1944,1956,Transitioned to real estate,Irene Price,"January 16, 1902","March 13, 1999","Parr, Indiana",1902,1999.0,3,1926.0,1927.0,1932.0,24.0,25.0,30.0
Price Realty,Owner,1956,1998,Retired,Irene Price,"January 16, 1902","March 13, 1999","Parr, Indiana",1902,1999.0,4,1926.0,1927.0,1932.0,24.0,25.0,30.0
Oberlin College,Instructor,1937,1938,,Esther Ober McCormick Torrance,"August 12, 1909","January 3, 1978","Fort Wayne, Indiana",1909,1978.0,1,1931.0,1932.0,1939.0,22.0,23.0,30.0
Fresno State College,Assistant Professor,1967,1972,Retirement,Esther Ober McCormick Torrance,"August 12, 1909","January 3, 1978","Fort Wayne, Indiana",1909,1978.0,2,1931.0,1932.0,1939.0,22.0,23.0,30.0
University of Missouri,Instructor in Mathematics,1921,1930,Completed PhD,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0,1,1921.0,1922.0,1929.0,24.0,25.0,32.0
Northeastern State Teachers College,Professor of Mathematics,1930,1933,Postgraduate work,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0,2,1921.0,1922.0,1929.0,24.0,25.0,32.0
Athens College,Chairman of the Department of Mathematics,1934,1940,Early retirement due to ill health,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0,3,1921.0,1922.0,1929.0,24.0,25.0,32.0
Saint Xavier College for Women,Instructor and Acting Head of the Mathematics Department,1927,1936,Continued her career at Wayne University,Emily McCoy Pixley,"August 19, 1904","August 28, 2000","Knoxville, Tennessee",1904,2000.0,1,1926.0,1927.0,1931.0,22.0,23.0,27.0
Wayne University,Special Instructor,1936,1949,University anti-nepotism policy,Emily McCoy Pixley,"August 19, 1904","August 28, 2000","Knoxville, Tennessee",1904,2000.0,2,1926.0,1927.0,1931.0,22.0,23.0,27.0
University of Detroit,"Assistant Professor, Associate Professor, Professor",1948,1973,Retirement,Emily McCoy Pixley,"August 19, 1904","August 28, 2000","Knoxville, Tennessee",1904,2000.0,3,1926.0,1927.0,1931.0,22.0,23.0,27.0
Classical School for Girls,Teacher,1886,1889,,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0,1,1886.0,,1903.0,22.0,,39.0
Walnut Lane School,Teacher,1891,1893,,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0,2,1886.0,,1903.0,22.0,,39.0
Wellesley College,Instructor,1893,1901,Promotion,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0,3,1886.0,,1903.0,22.0,,39.0
Wellesley College,Associate Professor,1901,1915,Promotion,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0,4,1886.0,,1903.0,22.0,,39.0
Wellesley College,Professor,1915,1931,Promotion,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0,5,1886.0,,1903.0,22.0,,39.0
Wellesley College,Lewis Atterbury Stimson Professor,1931,1932,Retirement,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0,6,1886.0,,1903.0,22.0,,39.0
Wellesley College,Professor Emeritus,1932,1949,Death,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0,7,1886.0,,1903.0,22.0,,39.0
Northfield Seminary,Teacher,1899,1902,Moved to Wellesley College,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0,1,1898.0,1899.0,1914.0,26.0,27.0,42.0
Wellesley College,Assistant in Mathematics,1904,1906,Promoted to Instructor,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0,2,1898.0,1899.0,1914.0,26.0,27.0,42.0
Wellesley College,Instructor,1906,1919,Promoted to Assistant Professor,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0,3,1898.0,1899.0,1914.0,26.0,27.0,42.0
Wellesley College,Assistant Professor,1919,1924,Promoted to Associate Professor,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0,4,1898.0,1899.0,1914.0,26.0,27.0,42.0
Wellesley College,Associate Professor,1924,1930,Promoted to Professor,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0,5,1898.0,1899.0,1914.0,26.0,27.0,42.0
Wellesley College,Professor,1930,1941,Retirement,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0,6,1898.0,1899.0,1914.0,26.0,27.0,42.0
Wellesley College,Emeritus Professor,1941,,Death,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0,7,1898.0,1899.0,1914.0,26.0,27.0,42.0
High School in Bowling Green,Mathematics Teacher,1927,1929,Moved to Illinois for graduate work,Josephine Hughes Chanler,"April 7, 1906","December 23, 1992","St. Louis, Missouri",1906,1992.0,1,1927.0,1930.0,1933.0,21.0,24.0,27.0
University of Illinois,Assistant,1930,1937,Promoted to Instructor,Josephine Hughes Chanler,"April 7, 1906","December 23, 1992","St. Louis, Missouri",1906,1992.0,2,1927.0,1930.0,1933.0,21.0,24.0,27.0
University of Illinois,Instructor,1937,1939,Promoted to Associate,Josephine Hughes Chanler,"April 7, 1906","December 23, 1992","St. Louis, Missouri",1906,1992.0,3,1927.0,1930.0,1933.0,21.0,24.0,27.0
University of Illinois,Associate,1939,1945,Promoted to Assistant Professor,Josephine Hughes Chanler,"April 7, 1906","December 23, 1992","St. Louis, Missouri",1906,1992.0,4,1927.0,1930.0,1933.0,21.0,24.0,27.0
University of Illinois,Assistant Professor,1945,1961,Promoted to Associate Professor,Josephine Hughes Chanler,"April 7, 1906","December 23, 1992","St. Louis, Missouri",1906,1992.0,5,1927.0,1930.0,1933.0,21.0,24.0,27.0
University of Illinois,Associate Professor,1961,1971,Retirement,Josephine Hughes Chanler,"April 7, 1906","December 23, 1992","St. Louis, Missouri",1906,1992.0,6,1927.0,1930.0,1933.0,21.0,24.0,27.0
Saint Louis University,Instructor at NSF Institutes,1959,1970,End of program,Josephine Hughes Chanler,"April 7, 1906","December 23, 1992","St. Louis, Missouri",1906,1992.0,7,1927.0,1930.0,1933.0,21.0,24.0,27.0
New York University,Receptionist and Secretary for Richard Courant,1936,1937,Received a Blumenthal fellowship,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0,1,1935.0,1936.0,1939.0,20.0,21.0,24.0
Ramo-Wooldridge Corporation (later TRW Inc.),Supervisor of desk calculator section,1954,1956,Transitioned to working with digital computers,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0,2,1935.0,1936.0,1939.0,20.0,21.0,24.0
Ramo-Wooldridge Corporation (later TRW Inc.),Worked with designers of digital computers,1956,1958,Not specified,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0,3,1935.0,1936.0,1939.0,20.0,21.0,24.0
Rand Corporation,Mathematician on the professional staff and consultant,1959,1965,Took time out to spend with husband and ailing mother,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0,4,1935.0,1936.0,1939.0,20.0,21.0,24.0
College of Notre Dame,Professor of Mathematics and Acting Chairman,1980,1981,Not specified,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0,5,1935.0,1936.0,1939.0,20.0,21.0,24.0
"University of California, Los Angeles",Part-time Mathematics Instructor,1982,1984,Not specified,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0,6,1935.0,1936.0,1939.0,20.0,21.0,24.0
University of Wisconsin,Instructor,1913,1914,Illness with pulmonary tuberculosis,Mildred Leonora Sanderson,"May 12, 1889","October 15, 1914","Waltham, Massachusetts",1889,1914.0,1,1910.0,1911.0,1913.0,21.0,22.0,24.0
University of Illinois,Instructor,1921,1931,Promotion,Beulah May Armstrong,"November 18, 1895","February 22, 1965","Sterling, Kansas",1895,1965.0,1,1917.0,1918.0,1921.0,22.0,23.0,26.0
University of Illinois,Associate,1931,1945,Promotion,Beulah May Armstrong,"November 18, 1895","February 22, 1965","Sterling, Kansas",1895,1965.0,2,1917.0,1918.0,1921.0,22.0,23.0,26.0
University of Illinois,Assistant Professor,1945,1959,Promotion,Beulah May Armstrong,"November 18, 1895","February 22, 1965","Sterling, Kansas",1895,1965.0,3,1917.0,1918.0,1921.0,22.0,23.0,26.0
University of Illinois,Associate Professor,1959,1963,Retirement,Beulah May Armstrong,"November 18, 1895","February 22, 1965","Sterling, Kansas",1895,1965.0,4,1917.0,1918.0,1921.0,22.0,23.0,26.0
University of Utah,Instructor of Mathematics,1937,1938,Resigned,Harriet Bonner (Rees),"July 16, 1914","June 28, 1978","Mt. Morris, Illinois",1914,1978.0,1,1934.0,1935.0,1937.0,20.0,21.0,23.0
Continuation High School in Pasadena,Mathematics Teacher,1968,1975,,Harriet Bonner (Rees),"July 16, 1914","June 28, 1978","Mt. Morris, Illinois",1914,1978.0,2,1934.0,1935.0,1937.0,20.0,21.0,23.0
Science Hill School,Mathematics Teacher,1929,1930,"Studied mathematics education at Teachers College, Columbia",Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0,1,1929.0,1931.0,1933.0,21.0,23.0,25.0
American International College,Instructor of Mathematics and Chemistry,1934,1938,Joined Hartwick College,Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0,2,1929.0,1931.0,1933.0,21.0,23.0,25.0
Hartwick College,Professor of Mathematics,1938,1943,Taught at University of Chicago and Smith College,Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0,3,1929.0,1931.0,1933.0,21.0,23.0,25.0
University of Chicago,Summer Instructor,1943,1943,One-year appointment at Smith College,Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0,4,1929.0,1931.0,1933.0,21.0,23.0,25.0
Smith College,Assistant Professor,1943,1944,Accepted position at Vassar College,Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0,5,1929.0,1931.0,1933.0,21.0,23.0,25.0
Vassar College,"Assistant Professor, later Associate Professor, then Professor",1944,1973,Retired as Professor Emeritus,Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0,6,1929.0,1931.0,1933.0,21.0,23.0,25.0
University of Wisconsin,Research Assistant,1934,1935,Completed PhD,Margarete Caroline Hopkins (née Wolf),"November 3, 1911","April 3, 1998","Milwaukee, Wisconsin",1911,1998.0,1,1932.0,1933.0,1935.0,21.0,22.0,24.0
University of Wisconsin,Research Assistant,1935,1936,Position ended,Margarete Caroline Hopkins (née Wolf),"November 3, 1911","April 3, 1998","Milwaukee, Wisconsin",1911,1998.0,2,1932.0,1933.0,1935.0,21.0,22.0,24.0
University of Wisconsin,Part-time Instructor,1936,1938,Position ended,Margarete Caroline Hopkins (née Wolf),"November 3, 1911","April 3, 1998","Milwaukee, Wisconsin",1911,1998.0,3,1932.0,1933.0,1935.0,21.0,22.0,24.0
University of Wisconsin,Research Associate,1937,1938,Position ended,Margarete Caroline Hopkins (née Wolf),"November 3, 1911","April 3, 1998","Milwaukee, Wisconsin",1911,1998.0,4,1932.0,1933.0,1935.0,21.0,22.0,24.0
Wayne University,Instructor,1938,1941,Marriage and relocation,Margarete Caroline Hopkins (née Wolf),"November 3, 1911","April 3, 1998","Milwaukee, Wisconsin",1911,1998.0,5,1932.0,1933.0,1935.0,21.0,22.0,24.0
