degree_institution_name,degree_type,degree_year,degree_advisor,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
Brown University,MA,1931,N/A,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
Brown University,PhD,1934,Jacob David Tamarkin,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
University of Texas,BA,1897,,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0
University of Texas,MA,1898,,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0
Radcliffe College,MA,1906,,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0
Johns Hopkins University,PhD,1913,Frank Morley,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0
University of Cincinnati,BA,1921,,Bess Marie Allen (Eversull),"May 18, 1899","March 18, 1978","Elmwood Place, Ohio",1899,1978.0
University of Cincinnati,MA,1922,,Bess Marie Allen (Eversull),"May 18, 1899","March 18, 1978","Elmwood Place, Ohio",1899,1978.0
University of Cincinnati,PhD,1924,Charles Napoleon Moore,Bess Marie Allen (Eversull),"May 18, 1899","March 18, 1978","Elmwood Place, Ohio",1899,1978.0
Stanford University,BA,1925,,Marie Johanna Weiss,"September 21, 1903","August 19, 1952","Eugene, California",1903,1952.0
Radcliffe College,MA,1926,,Marie Johanna Weiss,"September 21, 1903","August 19, 1952","Eugene, California",1903,1952.0
Stanford University,PhD,1928,W. A. Manning,Marie Johanna Weiss,"September 21, 1903","August 19, 1952","Eugene, California",1903,1952.0
Mount Holyoke College,BA,1914,,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0
Columbia University,MA,1915,,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0
University of California,PhD,1921,Derrick Norman Lehmer,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0
Indiana University,BA,1926,,Irene Price,"January 16, 1902","March 13, 1999","Parr, Indiana",1902,1999.0
Indiana University,MA,1927,,Irene Price,"January 16, 1902","March 13, 1999","Parr, Indiana",1902,1999.0
Indiana University,PhD,1932,Kenneth Powers Williams and Harold Thayer Davis,Irene Price,"January 16, 1902","March 13, 1999","Parr, Indiana",1902,1999.0
Barnard College,BA,1931,,Esther Ober McCormick Torrance,"August 12, 1909","January 3, 1978","Fort Wayne, Indiana",1909,1978.0
Cornell University,MA,1932,Virgil Snyder,Esther Ober McCormick Torrance,"August 12, 1909","January 3, 1978","Fort Wayne, Indiana",1909,1978.0
Brown University,PhD,1939,Jacob David Tamarkin,Esther Ober McCormick Torrance,"August 12, 1909","January 3, 1978","Fort Wayne, Indiana",1909,1978.0
University of Missouri,BS,1921,,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0
University of Missouri,MA,1922,,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0
University of Missouri,PhD,1929,Gustav Eric Wahlin,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0
Randolph-Macon Woman’s College,BA,1926,,Emily McCoy Pixley,"August 19, 1904","August 28, 2000","Knoxville, Tennessee",1904,2000.0
University of Chicago,MS,1927,Lawrence Murray Graves,Emily McCoy Pixley,"August 19, 1904","August 28, 2000","Knoxville, Tennessee",1904,2000.0
University of Chicago,PhD,1931,Leonard Eugene Dickson,Emily McCoy Pixley,"August 19, 1904","August 28, 2000","Knoxville, Tennessee",1904,2000.0
Wellesley College,BA,1886,,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0
Yale University,PhD,1903,James Pelham Pierpont,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0
Wellesley College,BA,1898,,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0
Columbia University (Teachers College),MA,1899,,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0
Johns Hopkins University,PhD,1914,Frank Morley,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0
Western Kentucky State Normal School and Teachers College,BA,1927,,Josephine Hughes Chanler,"April 7, 1906","December 23, 1992","St. Louis, Missouri",1906,1992.0
University of Illinois,MA,1930,Bessie Irving Miller,Josephine Hughes Chanler,"April 7, 1906","December 23, 1992","St. Louis, Missouri",1906,1992.0
University of Illinois,PhD,1933,Arthur Byron Coble,Josephine Hughes Chanler,"April 7, 1906","December 23, 1992","St. Louis, Missouri",1906,1992.0
Hunter College,BA,1935,,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0
Columbia University,MA,1936,Joseph Fels Ritt,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0
New York University,PhD,1939,Richard Courant,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0
Mount Holyoke College,BA,1910,,Mildred Leonora Sanderson,"May 12, 1889","October 15, 1914","Waltham, Massachusetts",1889,1914.0
University of Chicago,MS,1911,Leonard Eugene Dickson,Mildred Leonora Sanderson,"May 12, 1889","October 15, 1914","Waltham, Massachusetts",1889,1914.0
University of Chicago,PhD,1913,Leonard Eugene Dickson,Mildred Leonora Sanderson,"May 12, 1889","October 15, 1914","Waltham, Massachusetts",1889,1914.0
Baker University,BA,1917,,Beulah May Armstrong,"November 18, 1895","February 22, 1965","Sterling, Kansas",1895,1965.0
University of Kansas,MA,1918,,Beulah May Armstrong,"November 18, 1895","February 22, 1965","Sterling, Kansas",1895,1965.0
University of Illinois,PhD,1921,George Abram Miller,Beulah May Armstrong,"November 18, 1895","February 22, 1965","Sterling, Kansas",1895,1965.0
Rockford College,BA,1934,,Harriet Bonner (Rees),"July 16, 1914","June 28, 1978","Mt. Morris, Illinois",1914,1978.0
University of Chicago,MS,1935,Leonard Eugene Dickson,Harriet Bonner (Rees),"July 16, 1914","June 28, 1978","Mt. Morris, Illinois",1914,1978.0
University of Chicago,PhD,1937,A. Adrian Albert,Harriet Bonner (Rees),"July 16, 1914","June 28, 1978","Mt. Morris, Illinois",1914,1978.0
Mount Holyoke College,BA,1929,,Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0
University of Chicago,MA,1931,Mayme Logsdon,Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0
University of Chicago,PhD,1933,E. P. Lane,Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0
University of Wisconsin,BS,1932,Not specified,Margarete Caroline Hopkins (née Wolf),"November 3, 1911","April 3, 1998","Milwaukee, Wisconsin",1911,1998.0
University of Wisconsin,MA,1933,Not specified,Margarete Caroline Hopkins (née Wolf),"November 3, 1911","April 3, 1998","Milwaukee, Wisconsin",1911,1998.0
University of Wisconsin,PhD,1935,Mark Hoyt Ingraham,Margarete Caroline Hopkins (née Wolf),"November 3, 1911","April 3, 1998","Milwaukee, Wisconsin",1911,1998.0
Wellesley College,BA,1906,,Mary Florence Curtis Graustein,"April 12, 1884","July 18, 1972","Westminster, Massachusetts",1884,1972.0
Radcliffe College,MA,1915,,Mary Florence Curtis Graustein,"April 12, 1884","July 18, 1972","Westminster, Massachusetts",1884,1972.0
Radcliffe College,PhD,1917,Julian L. Coolidge,Mary Florence Curtis Graustein,"April 12, 1884","July 18, 1972","Westminster, Massachusetts",1884,1972.0
Western College for Women,BA,1909,,Anna Helen Tappan,"October 22, 1888","November 10, 1971","Mount Pleasant, Iowa",1888,1971.0
Cornell University,MA,1912,Virgil Snyder,Anna Helen Tappan,"October 22, 1888","November 10, 1971","Mount Pleasant, Iowa",1888,1971.0
Cornell University,PhD,1914,Virgil Snyder,Anna Helen Tappan,"October 22, 1888","November 10, 1971","Mount Pleasant, Iowa",1888,1971.0
Brown University,BA,1926,,Mary Virginia Landers (née Kenny),"February 5, 1905","November 18, 1990","Fall River, Massachusetts",1905,1990.0
Brown University,MA,1927,,Mary Virginia Landers (née Kenny),"February 5, 1905","November 18, 1990","Fall River, Massachusetts",1905,1990.0
University of Chicago,PhD,1939,Gilbert Ames Bliss and Magnus Rudolph Hestenes,Mary Virginia Landers (née Kenny),"February 5, 1905","November 18, 1990","Fall River, Massachusetts",1905,1990.0
West Virginia University,BA,1906,,Margaret Buchanan Cole,"August 18, 1885","September 10, 1959","Clinton, Pennsylvania",1885,1959.0
Bryn Mawr College,PhD,1922,Anna Johnson Pell (Wheeler),Margaret Buchanan Cole,"August 18, 1885","September 10, 1959","Clinton, Pennsylvania",1885,1959.0
Barnard College,BA,1911,,Caroline Eustis Seely,"August 3, 1887","May 17, 1961","Delhi, New York",1887,1961.0
Columbia University,MA,1912,David Eugene Smith,Caroline Eustis Seely,"August 3, 1887","May 17, 1961","Delhi, New York",1887,1961.0
Columbia University,PhD,1915,Edward Kasner,Caroline Eustis Seely,"August 3, 1887","May 17, 1961","Delhi, New York",1887,1961.0
Wellesley College,BA,1935,,Martha Eldora Hathaway Williams,"January 25, 1914","July 22, 1989","Montclair, New Jersey",1914,1989.0
Massachusetts Institute of Technology,MS,1936,George Rutledge,Martha Eldora Hathaway Williams,"January 25, 1914","July 22, 1989","Montclair, New Jersey",1914,1989.0
Massachusetts Institute of Technology,PhD,1939,Dirk Jan Struik,Martha Eldora Hathaway Williams,"January 25, 1914","July 22, 1989","Montclair, New Jersey",1914,1989.0
Indiana Normal School,BS,1893,,Elizabeth Buchanan Cowley,"May 22, 1874","April 13, 1945","Allegheny, Pennsylvania",1874,1945.0
Vassar College,BA,1901,,Elizabeth Buchanan Cowley,"May 22, 1874","April 13, 1945","Allegheny, Pennsylvania",1874,1945.0
Vassar College,MA,1902,,Elizabeth Buchanan Cowley,"May 22, 1874","April 13, 1945","Allegheny, Pennsylvania",1874,1945.0
Columbia University,PhD,1908,Professor Keyser,Elizabeth Buchanan Cowley,"May 22, 1874","April 13, 1945","Allegheny, Pennsylvania",1874,1945.0
Fordham University,BS,1927,,Sister Mary Cleophas Garvin,"December 11, 1899","January 16, 1990","Vickery, Ohio",1899,1990.0
Saint Louis University,MS,1931,,Sister Mary Cleophas Garvin,"December 11, 1899","January 16, 1990","Vickery, Ohio",1899,1990.0
Saint Louis University,PhD,1934,Francis Regan,Sister Mary Cleophas Garvin,"December 11, 1899","January 16, 1990","Vickery, Ohio",1899,1990.0
University of Saskatchewan,BA,1925,G. H. Ling and L. L. Dines,Olive Margaret Hughes,"December 13, 1899","December 29, 1936","London, England",1899,1936.0
University of Saskatchewan,MA,1926,G. H. Ling and L. L. Dines,Olive Margaret Hughes,"December 13, 1899","December 29, 1936","London, England",1899,1936.0
Bryn Mawr College,PhD,1934,Anna Pell Wheeler,Olive Margaret Hughes,"December 13, 1899","December 29, 1936","London, England",1899,1936.0
Stanford University,BA,1933,,Dorothy Manning Smiley Little,"October 6, 1909","October 18, 1988","Champaign, Illinois",1909,1988.0
Stanford University,MA,1934,William Albert Manning,Dorothy Manning Smiley Little,"October 6, 1909","October 18, 1988","Champaign, Illinois",1909,1988.0
Stanford University,PhD,1937,William Albert Manning,Dorothy Manning Smiley Little,"October 6, 1909","October 18, 1988","Champaign, Illinois",1909,1988.0
University of Georgia,BA,1924,,Gertrude Stith Ketchum,"August 4, 1903","September 27, 1958","near Nunez, Georgia",1903,1958.0
University of Georgia,MA,1928,,Gertrude Stith Ketchum,"August 4, 1903","September 27, 1958","near Nunez, Georgia",1903,1958.0
University of Illinois,PhD,1934,R. D. Carmichael,Gertrude Stith Ketchum,"August 4, 1903","September 27, 1958","near Nunez, Georgia",1903,1958.0
University of Kentucky,BA,1914,,Sallie Elizabeth Pence,"September 5, 1893","July 26, 1989","Lexington, Kentucky",1893,1989.0
University of Kentucky,MA,1928,,Sallie Elizabeth Pence,"September 5, 1893","July 26, 1989","Lexington, Kentucky",1893,1989.0
University of Illinois,PhD,1937,Arnold Emch,Sallie Elizabeth Pence,"September 5, 1893","July 26, 1989","Lexington, Kentucky",1893,1989.0
University of Washington,BA,1924,,Mary Elizabeth Haller,"June 15, 1901","June 16, 1970","Cumberland, Maryland",1901,1970.0
University of Washington,MS,1931,Roy Martin Winger,Mary Elizabeth Haller,"June 15, 1901","June 16, 1970","Cumberland, Maryland",1901,1970.0
University of Washington,PhD,1934,Roy Martin Winger,Mary Elizabeth Haller,"June 15, 1901","June 16, 1970","Cumberland, Maryland",1901,1970.0
Oberlin College,BA,1894,N/A,Josephine Alberta Robinson Roe,"May 5, 1858","April 29, 1946","Meredith, New Hampshire",1858,1946.0
Dartmouth College,MA,1911,N/A,Josephine Alberta Robinson Roe,"May 5, 1858","April 29, 1946","Meredith, New Hampshire",1858,1946.0
Syracuse University,PhD,1918,"Edward Drake Roe, Jr.",Josephine Alberta Robinson Roe,"May 5, 1858","April 29, 1946","Meredith, New Hampshire",1858,1946.0
Heidelberg University,BA,1897,,Grace Marie Bareis,"December 19, 1875","June 15, 1962","Canal Winchester, Ohio",1875,1962.0
Ohio State University,PhD,1909,Harry Waldo Kuhn,Grace Marie Bareis,"December 19, 1875","June 15, 1962","Canal Winchester, Ohio",1875,1962.0
Transylvania University,BA,1914,,Julia May Dale,"October 16, 1893","January 13, 1936","Shelbyville, Kentucky",1893,1936.0
University of Missouri,MA,1921,,Julia May Dale,"October 16, 1893","January 13, 1936","Shelbyville, Kentucky",1893,1936.0
Cornell University,PhD,1924,Wallie Abraham Hurwitz,Julia May Dale,"October 16, 1893","January 13, 1936","Shelbyville, Kentucky",1893,1936.0
Realgymnasium der Schillerschule,ABITUR,1922,,Lulu Bechtolsheim,"May 27, 1902","August 29, 1989","New York City, USA",1902,1989.0
Universität Zürich,PhD,1927,Eugenio Giuseppe Togliatti,Lulu Bechtolsheim,"May 27, 1902","August 29, 1989","New York City, USA",1902,1989.0
Brown University (Women’s College),BA,1916,,Marion Elizabeth Stark,"August 23, 1894","April 15, 1982","Norwich, Connecticut",1894,1982.0
Brown University,MA,1917,,Marion Elizabeth Stark,"August 23, 1894","April 15, 1982","Norwich, Connecticut",1894,1982.0
University of Chicago,PhD,1926,Gilbert Ames Bliss,Marion Elizabeth Stark,"August 23, 1894","April 15, 1982","Norwich, Connecticut",1894,1982.0
Smith College,BA,1905,,Susan Miller Rambo,"April 3, 1883","January 7, 1977","Easton, Pennsylvania",1883,1977.0
Smith College,MA,1913,,Susan Miller Rambo,"April 3, 1883","January 7, 1977","Easton, Pennsylvania",1883,1977.0
University of Michigan,PhD,1920,Walter Burton Ford,Susan Miller Rambo,"April 3, 1883","January 7, 1977","Easton, Pennsylvania",1883,1977.0
University of Michigan,PhB,1893,,Marion Ballantyne White,"March 28, 1871","January 30, 1958","Peoria, Illinois",1871,1958.0
University of Wisconsin,MA,1906,,Marion Ballantyne White,"March 28, 1871","January 30, 1958","Peoria, Illinois",1871,1958.0
University of Chicago,PhD,1910,Gilbert Ames Bliss,Marion Ballantyne White,"March 28, 1871","January 30, 1958","Peoria, Illinois",1871,1958.0
University of Cincinnati,BA,1931,,Alta Harriet Odoms Gray,"October 1, 1910","December 30, 2001","Fredonia, Indiana",1910,2001.0
University of Cincinnati,MA,1932,,Alta Harriet Odoms Gray,"October 1, 1910","December 30, 2001","Fredonia, Indiana",1910,2001.0
University of Cincinnati,PhD,1936,Charles Napoleon Moore,Alta Harriet Odoms Gray,"October 1, 1910","December 30, 2001","Fredonia, Indiana",1910,2001.0
Mount Holyoke College,BA,1904,,Mary Evelyn Wells,"August 20, 1881","October 7, 1965","LeRaysville, Pennsylvania",1881,1965.0
University of Chicago,MS,1907,,Mary Evelyn Wells,"August 20, 1881","October 7, 1965","LeRaysville, Pennsylvania",1881,1965.0
University of Chicago,PhD,1915,Eliakim Hastings Moore,Mary Evelyn Wells,"August 20, 1881","October 7, 1965","LeRaysville, Pennsylvania",1881,1965.0
Radcliffe College,BA,1912,,Olive Clio Hazlett,"October 27, 1890","March 8, 1974","Cincinnati, Ohio",1890,1974.0
University of Chicago,MS,1913,Leonard Eugene Dickson,Olive Clio Hazlett,"October 27, 1890","March 8, 1974","Cincinnati, Ohio",1890,1974.0
University of Chicago,PhD,1915,Leonard Eugene Dickson,Olive Clio Hazlett,"October 27, 1890","March 8, 1974","Cincinnati, Ohio",1890,1974.0
University of Missouri,BA,1903,,Mary Shore Hull,"June 1, 1882","September 18, 1952","Wentzville, Missouri",1882,1952.0
University of Missouri,MA,1904,,Mary Shore Hull,"June 1, 1882","September 18, 1952","Wentzville, Missouri",1882,1952.0
Yale University,PhD,1909,James Pelham Pierpont,Mary Shore Hull,"June 1, 1882","September 18, 1952","Wentzville, Missouri",1882,1952.0
Bryn Mawr College,BA,1927,,Elizabeth Baxter,"June 8, 1906","April 14, 1966","Ann Arbor, Michigan",1906,1966.0
University of Michigan,MA,1935,,Elizabeth Baxter,"June 8, 1906","April 14, 1966","Ann Arbor, Michigan",1906,1966.0
University of Michigan,PhD,1939,George Yuri Rainich,Elizabeth Baxter,"June 8, 1906","April 14, 1966","Ann Arbor, Michigan",1906,1966.0
Wellesley College,BS,1890,,Anne Lucy Bosworth Focke,"September 29, 1868","May 15, 1907","Woonsocket, Rhode Island",1868,1907.0
Georg-Augusts-Universität Göttingen,PhD,1900,David Hilbert,Anne Lucy Bosworth Focke,"September 29, 1868","May 15, 1907","Woonsocket, Rhode Island",1868,1907.0
University of South Dakota,BA,1903,,Anna Johnson Pell Wheeler,"May 5, 1883","March 26, 1966","Calliope (now Hawarden), Iowa",1883,1966.0
University of Iowa,MA,1904,,Anna Johnson Pell Wheeler,"May 5, 1883","March 26, 1966","Calliope (now Hawarden), Iowa",1883,1966.0
Radcliffe College,MA,1905,,Anna Johnson Pell Wheeler,"May 5, 1883","March 26, 1966","Calliope (now Hawarden), Iowa",1883,1966.0
University of Chicago,PhD,1910,Eliakim Hastings Moore,Anna Johnson Pell Wheeler,"May 5, 1883","March 26, 1966","Calliope (now Hawarden), Iowa",1883,1966.0
University of Nebraska,BA,1916,,Constance Juliet Ballantine,"August 15, 1896","January 14, 1974","Lincoln, Nebraska",1896,1974.0
University of Nebraska,MA,1919,,Constance Juliet Ballantine,"August 15, 1896","January 14, 1974","Lincoln, Nebraska",1896,1974.0
University of Chicago,PhD,1923,Leonard Eugene Dickson,Constance Juliet Ballantine,"August 15, 1896","January 14, 1974","Lincoln, Nebraska",1896,1974.0
Western College for Women,BA,1926,,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0
University of Chicago,MS,1931,Mayme I. Logsdon,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0
University of Chicago,PhD,1933,Mayme I. Logsdon,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0
University of Rochester,BA,1928,,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0
University of Rochester,MA,1929,,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0
University of Colorado,PhD,1939,Aubrey Kempner,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0
Rice Institute,BA,1926,,Deborah May Hickey Maria,"December 16, 1904","June 8, 2001","Lumberton, Mississippi",1904,2001.0
Rice Institute,MA,1927,Griffith Conrad Evans,Deborah May Hickey Maria,"December 16, 1904","June 8, 2001","Lumberton, Mississippi",1904,2001.0
Rice Institute,PhD,1929,Lester Randolph Ford,Deborah May Hickey Maria,"December 16, 1904","June 8, 2001","Lumberton, Mississippi",1904,2001.0
Wellesley College,BA,1921,,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0
Brown University,MA,1924,R. G. D. Richardson,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0
University of Chicago,PhD,1936,Gilbert Ames Bliss and William Thomas Reid,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0
Wellesley College,BA,1911,,Ethel Louise Anderton,"September 23, 1888","February 19, 1971","Dover, New Hampshire",1888,1971.0
Yale University,MA,1922,,Ethel Louise Anderton,"September 23, 1888","February 19, 1971","Dover, New Hampshire",1888,1971.0
Yale University,PhD,1925,James Kelsey Whittemore,Ethel Louise Anderton,"September 23, 1888","February 19, 1971","Dover, New Hampshire",1888,1971.0
Cornell University,BA,1924,,Caroline Avery Lester,"April 6, 1902","December 29, 1996","Seneca Falls, New York",1902,1996.0
Cornell University,MA,1928,Walter Buckingham Carver,Caroline Avery Lester,"April 6, 1902","December 29, 1996","Seneca Falls, New York",1902,1996.0
University of Wisconsin,PhD,1937,Cyrus Colton MacDuffee,Caroline Avery Lester,"April 6, 1902","December 29, 1996","Seneca Falls, New York",1902,1996.0
Randolph-Macon Woman’s College,BA,1903,,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0
University of Chicago,MS,1911,William Duncan MacMillan,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0
University of Chicago,PhD,1916,Gilbert Ames Bliss,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0
Grinnell College,BA,1923,,Frances Harshbarger,"August 16, 1902","February 11, 1987","Quimby, Iowa",1902,1987.0
West Virginia University,MA,1925,,Frances Harshbarger,"August 16, 1902","February 11, 1987","Quimby, Iowa",1902,1987.0
University of Illinois,PhD,1930,Arthur Byron Coble,Frances Harshbarger,"August 16, 1902","February 11, 1987","Quimby, Iowa",1902,1987.0
DePaul University,BA,1921,,Sister Mary Felice Vaudreuil,"August 20, 1894","October 27, 1978","Chippewa Falls, Wisconsin",1894,1978.0
Catholic University of America,PhD,1931,Aubrey Edward Landry,Sister Mary Felice Vaudreuil,"August 20, 1894","October 27, 1978","Chippewa Falls, Wisconsin",1894,1978.0
Hunter College,BA,1932,,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0
Bryn Mawr College,MA,1933,William W. Flexner,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0
Bryn Mawr College,PhD,1936,William W. Flexner,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0
New York University (Bellevue Schools of Nursing),BS,1945,,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0
Boston University,PhB,1886,,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0
Cornell University,MS,1889,,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0
Cornell University,PhD,1893,James Edward Oliver,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0
Radcliffe College,BA,1929,,Mildred Marie Sullivan,"November 16, 1907","August 30, 1958","Boston, Massachusetts",1907,1958.0
Radcliffe College,MA,1930,,Mildred Marie Sullivan,"November 16, 1907","August 30, 1958","Boston, Massachusetts",1907,1958.0
Radcliffe College,PhD,1932,Oliver Dimon Kellogg,Mildred Marie Sullivan,"November 16, 1907","August 30, 1958","Boston, Massachusetts",1907,1958.0
Mount Holyoke College,BA,1924,,Aline Huke Frink,"March 2, 1904","March 14, 2000","Torrington, Connecticut",1904,2000.0
University of Chicago,MA,1927,Arthur Constant Lunn,Aline Huke Frink,"March 2, 1904","March 14, 2000","Torrington, Connecticut",1904,2000.0
University of Chicago,PhD,1930,Gilbert Ames Bliss,Aline Huke Frink,"March 2, 1904","March 14, 2000","Torrington, Connecticut",1904,2000.0
Mount Holyoke College,BA,1931,Marie Litzinger,Virginia Modesitt Reklis,"June 15, 1910","November 29, 2000","Bloomington, Indiana",1910,2000.0
University of Illinois,MA,1932,,Virginia Modesitt Reklis,"June 15, 1910","November 29, 2000","Bloomington, Indiana",1910,2000.0
University of Illinois,PhD,1937,Harry Levy,Virginia Modesitt Reklis,"June 15, 1910","November 29, 2000","Bloomington, Indiana",1910,2000.0
Cornell University,BS,1894,,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0
University of Chicago,MS,1900,,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0
Cornell University,PhD,1908,Virgil Snyder,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0
Pacific University,BA,1929,,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0
University of California,MA,1934,,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0
