visit_location,visit_reason,visit_year,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
Norway and Sweden,Attended International Congress of Mathematicians,1936,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0
"Jacksonville, Florida",Stay with family,1923,Josephine Hughes Chanler,"April 7, 1906","December 23, 1992","St. Louis, Missouri",1906,1992.0
New York City,Presented at the IRE National Convention,1958,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0
"Munich, Germany",Presented at the IFIP Congress,1962,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0
Chicago,Presented a fundamental theorem in the theory of modular invariants to the AMS,1913,Mildred Leonora Sanderson,"May 12, 1889","October 15, 1914","Waltham, Massachusetts",1889,1914.0
"Madison, WI",Presented a method of constructing binary modular covariants to the AMS,1913,Mildred Leonora Sanderson,"May 12, 1889","October 15, 1914","Waltham, Massachusetts",1889,1914.0
Desert Peaks Section of the Sierra Club,Climbing emblem status,1947,Harriet Bonner (Rees),"July 16, 1914","June 28, 1978","Mt. Morris, Illinois",1914,1978.0
Institute Henri Poincaré at the Sorbonne,Faculty Fellow,1951,Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0
Duke University,Faculty Fellow,1966,Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0
University of Michigan,NSF Science Faculty Fellow,1958-1959,Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0
Princeton,Visiting Research Fellow,1971,Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0
"Madison, Wisconsin",UW-Madison Mathematics PhD Centennial Conference,1997,Margarete Caroline Hopkins (née Wolf),"November 3, 1911","April 3, 1998","Milwaukee, Wisconsin",1911,1998.0
Europe,Travel,1907,Mary Florence Curtis Graustein,"April 12, 1884","July 18, 1972","Westminster, Massachusetts",1884,1972.0
Cornell University,Study Botany and Pedagogy,1909,Mary Florence Curtis Graustein,"April 12, 1884","July 18, 1972","Westminster, Massachusetts",1884,1972.0
"Leipzig, Germany",Study Mathematics and Natural Science,1910,Mary Florence Curtis Graustein,"April 12, 1884","July 18, 1972","Westminster, Massachusetts",1884,1972.0
"Leipzig, Germany",Travel,1920,Mary Florence Curtis Graustein,"April 12, 1884","July 18, 1972","Westminster, Massachusetts",1884,1972.0
"Lugano, Switzerland",Husband's work,1928,Mary Florence Curtis Graustein,"April 12, 1884","July 18, 1972","Westminster, Massachusetts",1884,1972.0
Dolomites,Travel,Every other summer until World War II,Mary Florence Curtis Graustein,"April 12, 1884","July 18, 1972","Westminster, Massachusetts",1884,1972.0
Germany,Finish husband's papers,1948,Mary Florence Curtis Graustein,"April 12, 1884","July 18, 1972","Westminster, Massachusetts",1884,1972.0
Europe,Trip with friends,1928,Anna Helen Tappan,"October 22, 1888","November 10, 1971","Mount Pleasant, Iowa",1888,1971.0
Providence,Attend American Mathematical Society meeting,1929,Mary Virginia Landers (née Kenny),"February 5, 1905","November 18, 1990","Fall River, Massachusetts",1905,1990.0
"Washington, D.C.",Join husband during his military leave,1944,Mary Virginia Landers (née Kenny),"February 5, 1905","November 18, 1990","Fall River, Massachusetts",1905,1990.0
Europe,Travel,1910,Margaret Buchanan Cole,"August 18, 1885","September 10, 1959","Clinton, Pennsylvania",1885,1959.0
"Sorbonne, Paris",Study under European fellowships,1920,Margaret Buchanan Cole,"August 18, 1885","September 10, 1959","Clinton, Pennsylvania",1885,1959.0
"Washington, D.C.",Work with Army Ordnance Department,,Caroline Eustis Seely,"August 3, 1887","May 17, 1961","Delhi, New York",1887,1961.0
University of Chicago,Summer sessions in mathematics and physics,1903-1905,Elizabeth Buchanan Cowley,"May 22, 1874","April 13, 1945","Allegheny, Pennsylvania",1874,1945.0
University of Göttingen and Munich,Studies,Before 1914,Elizabeth Buchanan Cowley,"May 22, 1874","April 13, 1945","Allegheny, Pennsylvania",1874,1945.0
"Cambridge, England",International Congress of Mathematicians,1912,Elizabeth Buchanan Cowley,"May 22, 1874","April 13, 1945","Allegheny, Pennsylvania",1874,1945.0
Zürich,International Congress of Mathematicians,1932,Elizabeth Buchanan Cowley,"May 22, 1874","April 13, 1945","Allegheny, Pennsylvania",1874,1945.0
Oslo,International Congress of Mathematicians,1936,Elizabeth Buchanan Cowley,"May 22, 1874","April 13, 1945","Allegheny, Pennsylvania",1874,1945.0
Oklahoma State University,NSF institute,1959,Sister Mary Cleophas Garvin,"December 11, 1899","January 16, 1990","Vickery, Ohio",1899,1990.0
University of Kansas,Summer courses,1960,Sister Mary Cleophas Garvin,"December 11, 1899","January 16, 1990","Vickery, Ohio",1899,1990.0
Bowdoin College,Summer courses,1961,Sister Mary Cleophas Garvin,"December 11, 1899","January 16, 1990","Vickery, Ohio",1899,1990.0
Bowdoin College,Summer courses,1962,Sister Mary Cleophas Garvin,"December 11, 1899","January 16, 1990","Vickery, Ohio",1899,1990.0
University of Chicago,Studied Mathematics,1925,Olive Margaret Hughes,"December 13, 1899","December 29, 1936","London, England",1899,1936.0
University of Chicago,Studied Mathematics,1927,Olive Margaret Hughes,"December 13, 1899","December 29, 1936","London, England",1899,1936.0
University of Chicago,National Research Fellowship,1937,Dorothy Manning Smiley Little,"October 6, 1909","October 18, 1988","Champaign, Illinois",1909,1988.0
"Institute for Advanced Study, Princeton",Member,1938,Dorothy Manning Smiley Little,"October 6, 1909","October 18, 1988","Champaign, Illinois",1909,1988.0
"State College, Pennsylvania",Summer meetings,1937,Gertrude Stith Ketchum,"August 4, 1903","September 27, 1958","near Nunez, Georgia",1903,1958.0
"George Peabody College for Teachers, Nashville, Tennessee",Summer study,1921,Sallie Elizabeth Pence,"September 5, 1893","July 26, 1989","Lexington, Kentucky",1893,1989.0
Cornell University,Summer study,1932,Sallie Elizabeth Pence,"September 5, 1893","July 26, 1989","Lexington, Kentucky",1893,1989.0
Cornell University,Summer study,1933,Sallie Elizabeth Pence,"September 5, 1893","July 26, 1989","Lexington, Kentucky",1893,1989.0
University of Illinois,Study leave,1934,Sallie Elizabeth Pence,"September 5, 1893","July 26, 1989","Lexington, Kentucky",1893,1989.0
Europe,Travel,1963,Sallie Elizabeth Pence,"September 5, 1893","July 26, 1989","Lexington, Kentucky",1893,1989.0
University of Chicago,Study,1935,Mary Elizabeth Haller,"June 15, 1901","June 16, 1970","Cumberland, Maryland",1901,1970.0
MIT,Symposium on electro-magnetic theory,1949,Mary Elizabeth Haller,"June 15, 1901","June 16, 1970","Cumberland, Maryland",1901,1970.0
Dartmouth College,Summer studies,1907-1910,Josephine Alberta Robinson Roe,"May 5, 1858","April 29, 1946","Meredith, New Hampshire",1858,1946.0
Columbia University,Summer Study,1920,Grace Marie Bareis,"December 19, 1875","June 15, 1962","Canal Winchester, Ohio",1875,1962.0
Native American reservations near University of Oklahoma,Volunteer work,1924,Julia May Dale,"October 16, 1893","January 13, 1936","Shelbyville, Kentucky",1893,1936.0
Europe,Trip,1938,Lulu Bechtolsheim,"May 27, 1902","August 29, 1989","New York City, USA",1902,1989.0
Europe,Travel,1921,Marion Elizabeth Stark,"August 23, 1894","April 15, 1982","Norwich, Connecticut",1894,1982.0
International Congress of Mathematicians in Zurich,Conference Attendance,1932,Marion Elizabeth Stark,"August 23, 1894","April 15, 1982","Norwich, Connecticut",1894,1982.0
Nova Scotia,Travel,1955,Marion Elizabeth Stark,"August 23, 1894","April 15, 1982","Norwich, Connecticut",1894,1982.0
Glacier National Park,Travel,1956,Marion Elizabeth Stark,"August 23, 1894","April 15, 1982","Norwich, Connecticut",1894,1982.0
Bologna,International Congress of Mathematicians,1928,Susan Miller Rambo,"April 3, 1883","January 7, 1977","Easton, Pennsylvania",1883,1977.0
World trip,Leave of absence,1938,Susan Miller Rambo,"April 3, 1883","January 7, 1977","Easton, Pennsylvania",1883,1977.0
Munich,Study,1899,Marion Ballantyne White,"March 28, 1871","January 30, 1958","Peoria, Illinois",1871,1958.0
New York,Attended AMS meetings,1935,Alta Harriet Odoms Gray,"October 1, 1910","December 30, 2001","Fredonia, Indiana",1910,2001.0
Los Angeles,Presented to AMS,1932,Alta Harriet Odoms Gray,"October 1, 1910","December 30, 2001","Fredonia, Indiana",1910,2001.0
"Cincinnati, OH",Presented to AMS,1933,Alta Harriet Odoms Gray,"October 1, 1910","December 30, 2001","Fredonia, Indiana",1910,2001.0
"St. Louis, MO",Presented to AMS,1936,Alta Harriet Odoms Gray,"October 1, 1910","December 30, 2001","Fredonia, Indiana",1910,2001.0
"Southampton, England",Travel abroad,1922,Mary Evelyn Wells,"August 20, 1881","October 7, 1965","LeRaysville, Pennsylvania",1881,1965.0
"Hamburg, Germany",Travel abroad,1924,Mary Evelyn Wells,"August 20, 1881","October 7, 1965","LeRaysville, Pennsylvania",1881,1965.0
"University of Madras, India",Exchange Professor and Head of Department,1926,Mary Evelyn Wells,"August 20, 1881","October 7, 1965","LeRaysville, Pennsylvania",1881,1965.0
"University of Rome, Italy",Study,1927,Mary Evelyn Wells,"August 20, 1881","October 7, 1965","LeRaysville, Pennsylvania",1881,1965.0
"University of Madras, India",Return as a trustee,1936,Mary Evelyn Wells,"August 20, 1881","October 7, 1965","LeRaysville, Pennsylvania",1881,1965.0
France and England,Travel with mother,1905,Olive Clio Hazlett,"October 27, 1890","March 8, 1974","Cincinnati, Ohio",1890,1974.0
Toronto,International Congress of Mathematicians,1924,Olive Clio Hazlett,"October 27, 1890","March 8, 1974","Cincinnati, Ohio",1890,1974.0
Italy,Guggenheim fellowship study,1928,Olive Clio Hazlett,"October 27, 1890","March 8, 1974","Cincinnati, Ohio",1890,1974.0
Göttingen,Study,1929,Olive Clio Hazlett,"October 27, 1890","March 8, 1974","Cincinnati, Ohio",1890,1974.0
Yale University,Graduate Studies,1907,Mary Shore Hull,"June 1, 1882","September 18, 1952","Wentzville, Missouri",1882,1952.0
Yale University,Graduate Studies,1908,Mary Shore Hull,"June 1, 1882","September 18, 1952","Wentzville, Missouri",1882,1952.0
Göttingen,Study,1927,Elizabeth Baxter,"June 8, 1906","April 14, 1966","Ann Arbor, Michigan",1906,1966.0
Berlin,Study,1928,Elizabeth Baxter,"June 8, 1906","April 14, 1966","Ann Arbor, Michigan",1906,1966.0
University of Chicago,Summer study with E. H. Moore and Oskar Bolza,1894,Anne Lucy Bosworth Focke,"September 29, 1868","May 15, 1907","Woonsocket, Rhode Island",1868,1907.0
University of Chicago,Summer study with E. H. Moore and Oskar Bolza,1896,Anne Lucy Bosworth Focke,"September 29, 1868","May 15, 1907","Woonsocket, Rhode Island",1868,1907.0
University of Chicago,Summer study with E. H. Moore and Oskar Bolza,1897,Anne Lucy Bosworth Focke,"September 29, 1868","May 15, 1907","Woonsocket, Rhode Island",1868,1907.0
Göttingen,Study and PhD completion,1898,Anne Lucy Bosworth Focke,"September 29, 1868","May 15, 1907","Woonsocket, Rhode Island",1868,1907.0
Göttingen,Study,1906,Anna Johnson Pell Wheeler,"May 5, 1883","March 26, 1966","Calliope (now Hawarden), Iowa",1883,1966.0
San Francisco,Attend MAA meetings,1949,Anna Johnson Pell Wheeler,"May 5, 1883","March 26, 1966","Calliope (now Hawarden), Iowa",1883,1966.0
San Francisco,Attend MAA meetings,1951,Anna Johnson Pell Wheeler,"May 5, 1883","March 26, 1966","Calliope (now Hawarden), Iowa",1883,1966.0
University of Chicago,Summer study,1920,Constance Juliet Ballantine,"August 15, 1896","January 14, 1974","Lincoln, Nebraska",1896,1974.0
University of Chicago,Graduate study,1922,Constance Juliet Ballantine,"August 15, 1896","January 14, 1974","Lincoln, Nebraska",1896,1974.0
Europe,Attended the International Congress of Mathematicians,1936,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0
University of South Dakota,Delivered the thirteenth annual lecture on liberal education,1965,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0
University of South Dakota,Spoke at the summer commencement,1982,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0
"Munich, Germany",Study with Constantin Carathéodory,1929,Deborah May Hickey Maria,"December 16, 1904","June 8, 2001","Lumberton, Mississippi",1904,2001.0
Italy,Vacation,1930,Deborah May Hickey Maria,"December 16, 1904","June 8, 2001","Lumberton, Mississippi",1904,2001.0
Oak Ridge Institute of Nuclear Studies,Attended computing laboratory seminar,1951,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0
University of Colorado,Attended NSF summer institute,1953,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0
University of North Carolina,Attended NSF summer institute,1954,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0
Stanford,Studied applications of mathematics to social sciences,1957,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0
Germany,Travel,1937,Caroline Avery Lester,"April 6, 1902","December 29, 1996","Seneca Falls, New York",1902,1996.0
Munich,Study with Carathéodory,1929,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0
"Istanbul, Turkey",Employment at American College for Girls,1930,Frances Harshbarger,"August 16, 1902","February 11, 1987","Quimby, Iowa",1902,1987.0
"Notre Dame Health Care Center, Elm Grove, Wisconsin",Entered for care,1972,Sister Mary Felice Vaudreuil,"August 20, 1894","October 27, 1978","Chippewa Falls, Wisconsin",1894,1978.0
"San Diego, California",Representative of the AAAS at the annual meeting of the National Commission on Teacher Education and Professional Standards,1960,Sister Mary Felice Vaudreuil,"August 20, 1894","October 27, 1978","Chippewa Falls, Wisconsin",1894,1978.0
Cornell University,Fellow from Bryn Mawr,1935,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0
University of Chicago,Post-doctoral study,1937,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0
University of Chicago,Post-doctoral study,1938,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0
University of Michigan,Post-doctoral study,1947,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0
"US Naval Hospital, St. Albans, Long Island",Military service,1945,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0
Guam,Military service,1946,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0
Boston,Moved from Texas after father's death,after 1860,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0
"Needham, Massachusetts",Lived with family,1870,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0
"Framingham, Massachusetts",Student,1880,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0
"Jamestown, Rhode Island",Residence,1930,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0
"Washington, Connecticut",Moved due to illness,1948,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0
"Lexington, Massachusetts",Nursing home residence,1951,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0
"Dorchester, Boston, Massachusetts",Visiting relatives,1958,Mildred Marie Sullivan,"November 16, 1907","August 30, 1958","Boston, Massachusetts",1907,1958.0
"University College, Dublin",Lectured for a month,1965,Aline Huke Frink,"March 2, 1904","March 14, 2000","Torrington, Connecticut",1904,2000.0
University of Michigan,Took more mathematics courses,1938,Virginia Modesitt Reklis,"June 15, 1910","November 29, 2000","Bloomington, Indiana",1910,2000.0
"Europe (England, Scotland, France, Germany, Switzerland, Italy)",Travel,1890,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0
"Göttingen, Germany",Study,1900,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0
"Norway, Sweden, Russia, Germany",Travel,,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0
Alaska,Travel,,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0
Jamaica,Travel,,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0
"Spokane, WA",Presented to the Northwest Scientific Association,1946,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0
"Missoula, MT",Presented to the MAA,1953,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0
Göttingen,Mary E. Garrett European fellowship,1897,Emilie Norton Martin,"December 30, 1869","February 8, 1936","Elizabeth, New Jersey",1869,1936.0
Europe,Travel,1926,Emilie Norton Martin,"December 30, 1869","February 8, 1936","Elizabeth, New Jersey",1869,1936.0
University of Chicago,Study,1912,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Göttingen,Study,1913,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Columbia University,Study,1915,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Columbia University,Study,1916,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Columbia University,Study,1920,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Columbia University,Study,1921,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Toronto,International Mathematical Congress,1924,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Oslo,International Mathematical Congress,1936,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
"Cambridge, England",AAUW Anna C. Brackett memorial fellowship,1927,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
University of Chicago,Study,1930,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
India,Travel,1934,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
"Berkeley, California",Study,1941,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Europe,Travel,1936,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Europe,Travel,1955,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Cruise,Travel,1950,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
"Paris, France",Opened a branch of Oaksmere School,1912,Winifred Haring Edgerton Merrill,"September 24, 1862","September 6, 1951","Ripon, Wisconsin",1862,1951.0
"Paris, France",Supported America's participation in the international track meet for women,1922,Winifred Haring Edgerton Merrill,"September 24, 1862","September 6, 1951","Ripon, Wisconsin",1862,1951.0
Europe,Studying and traveling,1882,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0
"Göttingen, Germany",Worked in G. E. Müller's laboratory,1891,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0
"Berlin, Germany",Worked in Hermann von Helmholtz's laboratory,1891,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0
"Berlin, Germany",Worked on theory of color vision in Arthur König's laboratory,1894,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0
"Aberdeen Proving Ground, Maryland",Preparation of ballistic tables,1921,Goldie Printis Horton Porter,"September 4, 1887","May 11, 1972","Athens, Texas",1887,1972.0
University of Chicago,Study,1920,Claribel Kendall,"January 23, 1889","April 17, 1965","Denver, Colorado",1889,1965.0
University of California,Teaching,1925,Claribel Kendall,"January 23, 1889","April 17, 1965","Denver, Colorado",1889,1965.0
Bologna,International Congress of Mathematicians,1928,Claribel Kendall,"January 23, 1889","April 17, 1965","Denver, Colorado",1889,1965.0
"Physics and Mathematics Institute, Copenhagen",Study,1939,Fay Farnum,"August 24, 1888","March 11, 1977","Spencer, Iowa",1888,1977.0
"Berlin, Munich, Brenner Pass, Milan, Genoa",Travel back to the United States,1940,Fay Farnum,"August 24, 1888","March 11, 1977","Spencer, Iowa",1888,1977.0
University of Chicago,Doctoral work,1924,Dora McFarland,"April 18, 1895","November 26, 1987","near Aledo, Illinois",1895,1987.0
University of Chicago,Fellowship,1928,Dora McFarland,"April 18, 1895","November 26, 1987","near Aledo, Illinois",1895,1987.0
India and Southeast Asia,Trip,1959,Dora McFarland,"April 18, 1895","November 26, 1987","near Aledo, Illinois",1895,1987.0
University of Chicago,Represented Hunter mathematics department at the inauguration of the university’s new president,1929,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
Mexico,Studied painting,,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
Maine,Painted during summers,,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
South America,Travel,,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
Europe,Travel,,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
