honor_name,honor_year,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
Phi Kappa Phi,1963,Carolyn Grace Shover Quinn,"December 20, 1906","February 4, 1998","Grove City, Ohio",1906,1998.0
Thomas Hunter Prize in Mathematics,1925,Harriet Madeline Griffin,"April 6, 1903","January 13, 1991","Brooklyn, New York",1903,1991.0
Fellow of AAAS,,Harriet Madeline Griffin,"April 6, 1903","January 13, 1991","Brooklyn, New York",1903,1991.0
Pi Mu Epsilon Charter Member,1925,Harriet Madeline Griffin,"April 6, 1903","January 13, 1991","Brooklyn, New York",1903,1991.0
Key Pin Society Member,1939,Harriet Madeline Griffin,"April 6, 1903","January 13, 1991","Brooklyn, New York",1903,1991.0
M. Carey Thomas European fellowship,1921,Anna Marguerite Marie Lehr,"October 22, 1898","December 14, 1987","Baltimore, Maryland",1898,1987.0
Goucher alumnae achievement citation,1954,Anna Marguerite Marie Lehr,"October 22, 1898","December 14, 1987","Baltimore, Maryland",1898,1987.0
Lindback Foundation teaching award,1967,Anna Marguerite Marie Lehr,"October 22, 1898","December 14, 1987","Baltimore, Maryland",1898,1987.0
Phi Beta Kappa,,Ellen Clayton Stokes,"September 27, 1900","May 23, 1974","Hackensack, New Jersey",1900,1974.0
Sigma Xi,,Ellen Clayton Stokes,"September 27, 1900","May 23, 1974","Hackensack, New Jersey",1900,1974.0
Phi Beta Kappa,,Marjorie Leffler Alden,"August 29, 1909","October 5, 2000","Kyle, Ohio",1909,2000.0
Kappa Delta Pi,,Marjorie Leffler Alden,"August 29, 1909","October 5, 2000","Kyle, Ohio",1909,2000.0
Tau Kappa Alpha,,Marjorie Leffler Alden,"August 29, 1909","October 5, 2000","Kyle, Ohio",1909,2000.0
Mortar Board,,Marjorie Leffler Alden,"August 29, 1909","October 5, 2000","Kyle, Ohio",1909,2000.0
Phi Beta Kappa Membership,1948,Elizabeth E. Mary Karl,"November 16, 1893","August 30, 1984",New York City,1893,1984.0
President of Beta Gamma chapter of Delta Kappa Gamma,,Marie Mathilda Yeaton,"March 1, 1898","March 19, 1978","Galesburg, Illinois",1898,1978.0
Phi Beta Kappa,,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
Sigma Xi,,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
AAUP,,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
European Fellowship of the Association of Collegiate Alumnae,1891,Ruth Ellen Gentry,"February 22, 1862","October 18, 1917","Stilesville, Indiana",1862,1917.0
Membership in the New York Mathematical Society,1894,Ruth Ellen Gentry,"February 22, 1862","October 18, 1917","Stilesville, Indiana",1862,1917.0
President of the George Washington University Faculty Club,1939,Florence Marie Mears,"May 18, 1896","December 3, 1995","Baltimore, Maryland",1896,1995.0
Alumni Citation for twenty-five years of distinguished service,1955,Florence Marie Mears,"May 18, 1896","December 3, 1995","Baltimore, Maryland",1896,1995.0
Consultant for a Mathematics Project for the study of creativity,1958,Florence Marie Mears,"May 18, 1896","December 3, 1995","Baltimore, Maryland",1896,1995.0
Sr. Marie Cecilia Memorial Prize,1942,Sister Marie Cecilia Mangold,"December 5, 1872","February 9, 1934","Cincinnati, Ohio",1872,1934.0
Distinguished Teacher Award,1962,Sally Elizabeth Carlson,"October 2, 1896","November 1, 2000","Minneapolis, Minnesota",1896,2000.0
Elected to Sigma Xi,1935,Jeanette Delevie (Fox),"January 13, 1912","July 29, 1997","New York, New York",1912,1997.0
Mu Theta Epsilon,1920,Elsie Jeannette McFarland Buck,"June 3, 1897","January 11, 1984","St. Louis, Missouri",1897,1984.0
Wellesley Scholar,1914,Rachel Adams (Blodgett),"October 13, 1894","January 22, 1982","Woburn, Massachusetts",1894,1982.0
Durant Scholar,1915,Rachel Adams (Blodgett),"October 13, 1894","January 22, 1982","Woburn, Massachusetts",1894,1982.0
Cleota Gage Fry scholarship at Reed College,,Cleota Gage Fry,"December 30, 1910","July 1, 2001","Shoshone, Idaho",1910,2001.0
Annie J. Cannon Prize,1952,Ida Barney,"November 6, 1886","March 7, 1982","New Haven, Connecticut",1886,1982.0
Chairman of the Minnesota Section of the MAA,1934,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
Executive Committee Member of the Minnesota Section of the MAA,1935,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
Executive Committee Member of the Minnesota Section of the MAA,1939,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
Executive Committee Member of the Minnesota Section of the MAA,1962,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
Life member of the AMS,,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
