parent_name,parent_birthdate,parent_deathdate,parent_birthyear,parent_deathyear,parent_profession,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
Merry Lewis Pence,1854,1938,1854.0,1938.0,Professor of civil engineering and physics,Sallie Elizabeth Pence,"September 5, 1893","July 26, 1989","Lexington, Kentucky",1893,1989.0
Winifred Buckey,1875,,1875.0,,,Mary Elizabeth Haller,"June 15, 1901","June 16, 1970","Cumberland, Maryland",1901,1970.0
William Henry Haller,1875,,1875.0,,Railroad clerk and telegraph operator,Mary Elizabeth Haller,"June 15, 1901","June 16, 1970","Cumberland, Maryland",1901,1970.0
Frances Eliza Weld,1831,1906,1831.0,1906.0,N/A,Josephine Alberta Robinson Roe,"May 5, 1858","April 29, 1946","Meredith, New Hampshire",1858,1946.0
Joseph Wadleigh Robinson,1817,1886,1817.0,1886.0,Farmer,Josephine Alberta Robinson Roe,"May 5, 1858","April 29, 1946","Meredith, New Hampshire",1858,1946.0
Amanda Jane Schoch,1850,1908,1850.0,1908.0,,Grace Marie Bareis,"December 19, 1875","June 15, 1962","Canal Winchester, Ohio",1875,1962.0
George Frederick Bareis,1852,1932,1852.0,1932.0,"Lumber Business Owner, Historian, Archaeologist",Grace Marie Bareis,"December 19, 1875","June 15, 1962","Canal Winchester, Ohio",1875,1962.0
Ida May Todd,1867,,1867.0,,,Julia May Dale,"October 16, 1893","January 13, 1936","Shelbyville, Kentucky",1893,1936.0
James Harrison Dale,1861,1937,1861.0,1937.0,"Farmer, Secretary of Agriculture, Breeder of Shorthorn Cattle",Julia May Dale,"October 16, 1893","January 13, 1936","Shelbyville, Kentucky",1893,1936.0
Clara Olshauson,1875,1938,1875.0,1938.0,Homemaker,Lulu Bechtolsheim,"May 27, 1902","August 29, 1989","New York City, USA",1902,1989.0
Otto Hofmann,1863,1956,1863.0,1956.0,Stockbroker,Lulu Bechtolsheim,"May 27, 1902","August 29, 1989","New York City, USA",1902,1989.0
Ella E.,1859,,1859.0,,,Marion Elizabeth Stark,"August 23, 1894","April 15, 1982","Norwich, Connecticut",1894,1982.0
Charles L. Stark,1850,1926,1850.0,1926.0,Salesman/Buyer for a dry goods store,Marion Elizabeth Stark,"August 23, 1894","April 15, 1982","Norwich, Connecticut",1894,1982.0
Annie Roberta Kortz,1852,,1852.0,,,Susan Miller Rambo,"April 3, 1883","January 7, 1977","Easton, Pennsylvania",1883,1977.0
George Green Rambo,1842,,1842.0,,Wholesale grocer,Susan Miller Rambo,"April 3, 1883","January 7, 1977","Easton, Pennsylvania",1883,1977.0
Jennie E. McLaren,1840,,1840.0,,Teacher,Marion Ballantyne White,"March 28, 1871","January 30, 1958","Peoria, Illinois",1871,1958.0
Samuel Holmes White,1830,1882,1830.0,1882.0,Teacher,Marion Ballantyne White,"March 28, 1871","January 30, 1958","Peoria, Illinois",1871,1958.0
Ethel Nelson,ca. 1878,1962,1878.0,1962.0,,Alta Harriet Odoms Gray,"October 1, 1910","December 30, 2001","Fredonia, Indiana",1910,2001.0
John Bert Odoms,ca. 1872,,1872.0,,"Farmer, Plasterer",Alta Harriet Odoms Gray,"October 1, 1910","December 30, 2001","Fredonia, Indiana",1910,2001.0
Delphine Whitford,1854,,1854.0,,Dressmaker,Mary Evelyn Wells,"August 20, 1881","October 7, 1965","LeRaysville, Pennsylvania",1881,1965.0
William Henry Wells,1851,,1851.0,,Farmer/Carpenter,Mary Evelyn Wells,"August 20, 1881","October 7, 1965","LeRaysville, Pennsylvania",1881,1965.0
Olive Leonora Binkley,1866,1954,1866.0,1954.0,Physician,Olive Clio Hazlett,"October 27, 1890","March 8, 1974","Cincinnati, Ohio",1890,1974.0
Robert Hazlett,1862,Before March 1905,1862.0,,Postal Clerk,Olive Clio Hazlett,"October 27, 1890","March 8, 1974","Cincinnati, Ohio",1890,1974.0
Harriett F. Shore,1855,,1855.0,,,Mary Shore Hull,"June 1, 1882","September 18, 1952","Wentzville, Missouri",1882,1952.0
Charles Joseph Walker,1846,,1846.0,,Attorney,Mary Shore Hull,"June 1, 1882","September 18, 1952","Wentzville, Missouri",1882,1952.0
Margaret May Milbank,1880,1972,1880.0,1972.0,Unknown,Elizabeth Baxter,"June 8, 1906","April 14, 1966","Ann Arbor, Michigan",1906,1966.0
Walter Bowers Pillsbury,1872,1960,1872.0,1960.0,Psychologist and Professor,Elizabeth Baxter,"June 8, 1906","April 14, 1966","Ann Arbor, Michigan",1906,1966.0
Ellen Metcalf Bosworth,1843,1929,1843.0,1929.0,Librarian,Anne Lucy Bosworth Focke,"September 29, 1868","May 15, 1907","Woonsocket, Rhode Island",1868,1907.0
Alfred Bosworth,ca. 1846,,1846.0,,,Anne Lucy Bosworth Focke,"September 29, 1868","May 15, 1907","Woonsocket, Rhode Island",1868,1907.0
Amelia Friberg or Frieberg,1854,1935,1854.0,1935.0,,Anna Johnson Pell Wheeler,"May 5, 1883","March 26, 1966","Calliope (now Hawarden), Iowa",1883,1966.0
Andrew Gustav Johnson,1846,1920,1846.0,1920.0,Furniture dealer and undertaker,Anna Johnson Pell Wheeler,"May 5, 1883","March 26, 1966","Calliope (now Hawarden), Iowa",1883,1966.0
Clara Schroeder,1871,1964,1871.0,1964.0,Homemaker and legal secretary,Constance Juliet Ballantine,"August 15, 1896","January 14, 1974","Lincoln, Nebraska",1896,1974.0
Nestor Rummons,1869,1929,1869.0,1929.0,Lawyer,Constance Juliet Ballantine,"August 15, 1896","January 14, 1974","Lincoln, Nebraska",1896,1974.0
Caroline Fleuchaus Stafford,ca. 1882,1919,1882.0,1919.0,,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0
Richard W. Stafford,1881,1919,1881.0,1919.0,"Manager of a pickle factory, later managed lumber companies",Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0
Josephine Mary Fisher,1874,1949,1874.0,1949.0,,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0
Henry George Heckel,1875,1943,1875.0,1943.0,Manager of a furniture store,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0
Edna May Adams,1873,1955,1873.0,1955.0,"Dressmaker, Milliner, Secretary",Deborah May Hickey Maria,"December 16, 1904","June 8, 2001","Lumberton, Mississippi",1904,2001.0
Charles Robert Hickey,1874,1956,1874.0,1956.0,"Farmer, Laborer, Oil Refinery Worker, Automobile Assembly Plant Worker, Railroad Worker",Deborah May Hickey Maria,"December 16, 1904","June 8, 2001","Lumberton, Mississippi",1904,2001.0
Margaret Prescott Green,1871,1905,1871.0,1905.0,,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0
George Herbert Wiggin,1864,1948,1864.0,1948.0,Farmer,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0
Isabelle Richardson,1853,1937,1853.0,1937.0,Proprietor of a stationery and variety store,Ethel Louise Anderton,"September 23, 1888","February 19, 1971","Dover, New Hampshire",1888,1971.0
Washington Anderton,1854,1938,1854.0,1938.0,Fabric colorist and superintendent of the print works,Ethel Louise Anderton,"September 23, 1888","February 19, 1971","Dover, New Hampshire",1888,1971.0
Elizabeth Campbell,1868,1943,1868.0,1943.0,Attended a school for young ladies in New York City,Caroline Avery Lester,"April 6, 1902","December 29, 1996","Seneca Falls, New York",1902,1996.0
Frederick William Lester,1870,1947,1870.0,1947.0,Surgeon,Caroline Avery Lester,"April 6, 1902","December 29, 1996","Seneca Falls, New York",1902,1996.0
Gillie Augusta (Glendy) Larew,1846,1887,1846.0,1887.0,,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0
Isaac Hall Larew,1840,1904,1840.0,1904.0,Farmer and Lawyer,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0
Annie W. Harshbarger,1870,,1870.0,,,Frances Harshbarger,"August 16, 1902","February 11, 1987","Quimby, Iowa",1902,1987.0
Charles C. Harshbarger,1871,,1871.0,,Bank Cashier,Frances Harshbarger,"August 16, 1902","February 11, 1987","Quimby, Iowa",1902,1987.0
Lenora Blair Vaudreuil,1871,1905,1871.0,1905.0,,Sister Mary Felice Vaudreuil,"August 20, 1894","October 27, 1978","Chippewa Falls, Wisconsin",1894,1978.0
Ludger J. Vaudreuil,1866,1943,1866.0,1943.0,Lumber merchant,Sister Mary Felice Vaudreuil,"August 20, 1894","October 27, 1978","Chippewa Falls, Wisconsin",1894,1978.0
Dora Siegal,1875,1962,1875.0,1962.0,,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0
Hyman Levin,1870,1936,1870.0,1936.0,house painter,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0
Martha C. Williams,1823,,1823.0,,,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0
Charles A. Metcalf,early 1820s,before 1870,,,Bookkeeper/Clerk,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0
Alice T. Sullivan,1875,,1875.0,,,Mildred Marie Sullivan,"November 16, 1907","August 30, 1958","Boston, Massachusetts",1907,1958.0
John F. Sullivan,1871,,1871.0,,Letter carrier for the post office,Mildred Marie Sullivan,"November 16, 1907","August 30, 1958","Boston, Massachusetts",1907,1958.0
Mary Evelyn Feustel,1872,,1872.0,,Public school teacher,Aline Huke Frink,"March 2, 1904","March 14, 2000","Torrington, Connecticut",1904,2000.0
Allen Johnson Huke,1883,1956,1883.0,1956.0,Building supply business,Aline Huke Frink,"March 2, 1904","March 14, 2000","Torrington, Connecticut",1904,2000.0
Floy Underwood Modesitt,1885,1984,1885.0,1984.0,,Virginia Modesitt Reklis,"June 15, 1910","November 29, 2000","Bloomington, Indiana",1910,2000.0
Raymond Lyons Modesitt,1883,1927,1883.0,1927.0,"High school teacher, later mathematics teacher at Eastern Illinois State Normal School",Virginia Modesitt Reklis,"June 15, 1910","November 29, 2000","Bloomington, Indiana",1910,2000.0
Mary Jane Pugsley,1841,1885,1841.0,1885.0,Music teacher,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0
Moses M. Van Benschoten,1839,1872,1839.0,1872.0,Infantry soldier during the Civil War,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0
Grace Marshall,1878,1922,1878.0,1922.0,Teacher and housewife,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0
Emory James Noble,1880,1959,1880.0,1959.0,Attorney,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0
Mary Holmes (Ford),1838,,1838.0,,,Emilie Norton Martin,"December 30, 1869","February 8, 1936","Elizabeth, New Jersey",1869,1936.0
Robert Wilkie Martin,1841,,1841.0,,Surgeon,Emilie Norton Martin,"December 30, 1869","February 8, 1936","Elizabeth, New Jersey",1869,1936.0
Maria Euphemia Van Blarcorn,1855,1924,1855.0,1924.0,,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Eugene Morenus,1854,1929,1854.0,1929.0,"Manager of a glass works, Manufacturer of thermometers",Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Clara Cooper Edgerton,circa 1830,,1830.0,,Farmer,Winifred Haring Edgerton Merrill,"September 24, 1862","September 6, 1951","Ripon, Wisconsin",1862,1951.0
Emmet Edgerton,circa 1830,,1830.0,,Real estate operator,Winifred Haring Edgerton Merrill,"September 24, 1862","September 6, 1951","Ripon, Wisconsin",1862,1951.0
Augusta F. Niles,1825,1860,1825.0,1860.0,Supporter of women's rights,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0
Eliphalet Ladd,1822,1885,1822.0,1885.0,Merchant and gentleman farmer,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0
Colistia Polk Horton,1861,,1861.0,,,Goldie Printis Horton Porter,"September 4, 1887","May 11, 1972","Athens, Texas",1887,1972.0
John Thomas Horton,1857,,1857.0,,Physician,Goldie Printis Horton Porter,"September 4, 1887","May 11, 1972","Athens, Texas",1887,1972.0
Emma Gano Reily,1859,,1859.0,,,Claribel Kendall,"January 23, 1889","April 17, 1965","Denver, Colorado",1889,1965.0
Charles Martin Kendall,1860,1906,1860.0,1906.0,Lawyer,Claribel Kendall,"January 23, 1889","April 17, 1965","Denver, Colorado",1889,1965.0
Josephine Jacobs,1857,,1857.0,,,Fay Farnum,"August 24, 1888","March 11, 1977","Spencer, Iowa",1888,1977.0
George Edwin Farnum,1851,,1851.0,,Farmer,Fay Farnum,"August 24, 1888","March 11, 1977","Spencer, Iowa",1888,1977.0
Nell Blayney McFarland,1868,1912,1868.0,1912.0,,Dora McFarland,"April 18, 1895","November 26, 1987","near Aledo, Illinois",1895,1987.0
Edmund Curry McFarland,1866,1938,1866.0,1938.0,,Dora McFarland,"April 18, 1895","November 26, 1987","near Aledo, Illinois",1895,1987.0
Alice Louise Stackhouse,1870,,1870.0,,,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
Moses Rees,1858,,1858.0,,,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
Lena Linn,1887,1973,1887.0,1973.0,Clerk at Educational Testing Service,Elizabeth Audrey Wishard McMillan,"July 7, 1914","January 10, 2008","Jubbulpore, India",1914,2008.0
Glenn Porter Wishard,1883,1956,1883.0,1956.0,"YMCA Secretary, Foreign Service",Elizabeth Audrey Wishard McMillan,"July 7, 1914","January 10, 2008","Jubbulpore, India",1914,2008.0
Sophie Kirn,1862,1941,1862.0,1941.0,,May Margaret Beenken,"October 22, 1901","December 21, 1988","Philadelphia, Pennsylvania",1901,1988.0
Henry Beenken,1852,,1852.0,,,May Margaret Beenken,"October 22, 1901","December 21, 1988","Philadelphia, Pennsylvania",1901,1988.0
Mary Irene Eichelberger,1860,,1860.0,,,Helen Barton,"August 9, 1891","March 19, 1971","Baltimore, Maryland",1891,1971.0
James Sheridan Barton,1858,,1858.0,,"retail merchant, general store",Helen Barton,"August 9, 1891","March 19, 1971","Baltimore, Maryland",1891,1971.0
Alice Barbara Haffa,1880,1942,1880.0,1942.0,"Cashier, Homemaker",Harriet Frances Montague,"June 9, 1905","March 19, 1997","Buffalo, New York",1905,1997.0
Laurence Hibbard Montague,1881,1950,1881.0,1950.0,"Organist, Choirmaster, Composer",Harriet Frances Montague,"June 9, 1905","March 19, 1997","Buffalo, New York",1905,1997.0
Frances Emily Fuller,1857,1915,1857.0,1915.0,,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
William Henry Stokes,1850,,1850.0,,MD and farmer,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
Sophia Adelaide Whidden,1851,1895,1851.0,1895.0,,Euphemia Richardson Worthington,"December 22, 1881","August 30, 1969","Troy, New York",1881,1969.0
John Worthington,1840,1913,1840.0,1913.0,Coal dealer,Euphemia Richardson Worthington,"December 22, 1881","August 30, 1969","Troy, New York",1881,1969.0
Honora A. Conroy,1865,,1865.0,,,Anna Marie Whelan,"September 6, 1895","June 14, 1966","Baltimore, Maryland",1895,1966.0
James J. Whelan,1862,,1862.0,,salesman,Anna Marie Whelan,"September 6, 1895","June 14, 1966","Baltimore, Maryland",1895,1966.0
Anna Harrold,circa 1876,May 1939,1876.0,1939.0,Unknown,Antoinette Marie Huston (née Killen),"November 23, 1904","July 13, 1993","Chicago, Illinois",1904,1993.0
