full_name,birthdate,deathdate,birthplace,birthyear,deathyear
Cora Barbara Hennel,"January 21, 1886","June 26, 1947","Evansville, Indiana",1886,1947.0
Julia Wells Bower,"December 27, 1903","February 19, 1999","Reading, Pennsylvania",1903,1999.0
Sister Leonarda Burke,"November 24, 1900","March 1, 1998","Boston, Massachusetts",1900,1998.0
Florence Lucile Black,"November 22, 1889","September 13, 1974","Meade County, Kansas",1889,1974.0
Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
Helen Calkins,"October 20, 1893","June 17, 1970","Quincy, Illinois",1893,1970.0
Rose Alice Whelan Sedgewick,"June 16, 1903","June 7, 2000","Brockton, Massachusetts",1903,2000.0
Helen Agnes Kelley,"September 8, 1888","October 22, 1926","Roxbury, Boston, Massachusetts",1888,1926.0
Pauline Sperry,"March 5, 1885","September 24, 1967","Peabody, Massachusetts",1885,1967.0
Agnes Sime Baxter,"March 18, 1870","March 9, 1917","Halifax, Nova Scotia, Canada",1870,1917.0
Sister Mary Laetitia Hill,"December 22, 1898","April 10, 1992","Koerth, Texas",1898,1992.0
Evelyn Carroll Rusk,"September 28, 1898","December 5, 1964","Rome, New York",1898,1964.0
Ruth Margaret Peters,"December 11, 1906","May 12, 1961","Gettysburg, Pennsylvania",1906,1961.0
Roxana Hayward Vivian,"December 9, 1871","May 31, 1961","Hyde Park, Massachusetts",1871,1961.0
Sister M. Helen Sullivan,"April 10, 1907","December 22, 1998","Effingham, Kansas",1907,1998.0
Mildred Ellen Taylor,"July 25, 1898","November 3, 1978","Virginia, Illinois",1898,1978.0
Lois Wilfred Griffiths,"June 27, 1899","November 9, 1981","Chagrin Falls, Ohio",1899,1981.0
Suzan Rose Benedict,"November 29, 1873","April 8, 1942","Ohio, USA",1873,1942.0
Marion Belle Greenebaum Epstein,"June 14, 1915",,"Brooklyn, New York",1915,
Vivian Eberle Spencer,"October 27, 1907","September 14, 1980","New Castle, Pennsylvania",1907,1980.0
Margaret Evelyn Mauch,"June 1, 1897","November 16, 1987","De Smet, South Dakota",1897,1987.0
Marian Augusta Wilder Thornton,"July 18, 1905","September 30, 1992","Shakopee, Minnesota",1905,1992.0
Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
Vera Adela Widder (née Ames),"December 12, 1909","May 18, 2004","Milestone, Saskatchewan, Canada",1909,2004.0
Ruth Gertrude Simond,"March 7, 1904","September 15, 1958","Franklin, New Hampshire",1904,1958.0
Ruth Caroline McKee (Stauffer),"July 16, 1910","January 9, 1993","Harrisburg, Pennsylvania",1910,1993.0
Virginia Ragsdale,"December 13, 1870","June 4, 1945","Jamestown, North Carolina",1870,1945.0
Teresa Cohen,"February 14, 1892","August 10, 1992","Baltimore, Maryland",1892,1992.0
Marie Paula Litzinger,"May 14, 1899","April 7, 1952","Bedford, Pennsylvania",1899,1952.0
Sarah Elizabeth Cronin,"July 1, 1877","October 2, 1958","Iowa, probably in Allamakee County",1877,1958.0
Sister Mary Henrietta Reilly,"February 14, 1895","April 21, 1964","Chicago, Illinois",1895,1964.0
Mabel Frances Barnes (Schmeiser),"July 29, 1905","February 22, 1993","Wapello, Iowa",1905,1993.0
Sister Charles Mary Morrison,"July 19, 1895","January 15, 1953","Hyde Park, Massachusetts",1895,1953.0
Sister Mary Charlotte Fowler,"August 26, 1899","August 26, 1997","Mechanicsville, Maryland",1899,1997.0
Ruth Glidden Mason Ballard,"April 24, 1906","June 7, 1980","Chicago, Illinois",1906,1980.0
Annita Tuller,"December 30, 1910","August 29, 1994","Brooklyn, New York",1910,1994.0
Mary Barbara Haberzetle Turner,"June 4, 1912","November 16, 1983","Chicago, Illinois",1912,1983.0
Eleanor Pairman Brown,"June 8, 1896","September 14, 1973","Broomieknowe, Lasswade, Midlothian, Scotland",1896,1973.0
Florence Eliza Allen,"October 4, 1876","December 31, 1960","Horicon, Wisconsin",1876,1960.0
Helen Barten Brewster Owens,"April 2, 1881","June 6, 1968","Pleasanton, Linn County, Kansas",1881,1968.0
M. Gweneth Humphreys,"October 22, 1911","October 6, 2006","South Vancouver, British Columbia",1911,2006.0
Emily Matilda Coddington Williams,"October 21, 1873","August 8, 1952",New York City,1873,1952.0
Gertrude Blanch,"February 2, 1897","January 1, 1996","Kolno, Poland",1897,1996.0
Wealthy Consuelo Babcock,"November 18, 1895","April 10, 1990","Washington County, Kansas",1895,1990.0
Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
Elizabeth Morgan Cooper,"January 19, 1891","May 17, 1967","Syracuse, New York",1891,1967.0
Mary Emily Sinclair,"September 27, 1878","June 3, 1955","Worcester, Massachusetts",1878,1955.0
Shu Ting Liu Hsia,"September 25, 1903","August 16, 1980","Beijing, China",1903,1980.0
Nola Lee Anderson Haynes,"January 9, 1897","December 21, 1996","Bucklin, Linn County, Missouri",1897,1996.0
Grace Andrews,"May 30, 1869","July 27, 1951","Brooklyn, New York",1869,1951.0
Emma Julia Olson,"December 7, 1892","November 14, 1981","Fairview, South Dakota",1892,1981.0
Annie Dale Andrews (Biddle),"December 13, 1885","April 14, 1940","Hanford, California",1885,1940.0
Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
Marion Cameron Gray,"March 26, 1902","September 16, 1979","Ayr, Scotland",1902,1979.0
Frances Ellen Baker,"December 19, 1902","April 4, 1995","Anna, Illinois",1902,1995.0
Edna Ernestine Kramer,"May 11, 1902","July 9, 1984","New York, New York",1902,1984.0
Ada Isabel Maddison,"April 13, 1869","October 22, 1950","Whitehaven, Cumberland, England",1869,1950.0
Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
Sister M. Leontius Schulte,"September 4, 1901","March 20, 2000","Cleveland, Wisconsin",1901,2000.0
Dorothy Bothwell Kohlmetz,"January 25, 1906","December 18, 1941","Albany, New York",1906,1941.0
Roberta Frances Johnson,"January 22, 1902","October 12, 1988","Philadelphia, Pennsylvania",1902,1988.0
Fannie Wilson Boyce,"March 16, 1897","February 13, 1986","Near Lentner, Shelby County, Missouri",1897,1986.0
Dorothy Elizabeth Brady (Stahl),"June 14, 1903","April 17, 1977","Elk River, Minnesota",1903,1977.0
Adrienne Sophie Rayl,"September 25, 1898","November 27, 1989","New Orleans, Louisiana",1898,1989.0
Mildred Hunt,"May 8, 1888","December 14, 1975","Fairport, New York",1888,1975.0
Rosella Kanarik,"February 7, 1909",,"Bartfa, Hungary",1909,
Anna Margaret Catherine Grant,"June 22, 1903","February 23, 1984","Springville, Pictou County, Nova Scotia, Canada",1903,1984.0
Gladys Elizabeth Corson Gibbens,"January 21, 1893","September 24, 1983","New Orleans, Louisiana",1893,1983.0
Eleanor Margaret Thuener,"October 25, 1880","September 29, 1977","Allegheny, Pennsylvania",1880,1977.0
Mayme Irwin Logsdon,"February 1, 1881","July 4, 1967","Elizabethtown, Kentucky",1881,1967.0
Hazel Edith Schoonmaker Wilson,"October 31, 1888","April 23, 1988","Philadelphia, Pennsylvania",1888,1988.0
Beatrice Aitchison,"July 18, 1908","September 22, 1997","Portland, Oregon",1908,1997.0
Elizabeth Stafford Hirschfelder,"April 25, 1902","September 29, 2002","Providence, Rhode Island",1902,2002.0
Miriam Freda Mazur (Becker),"March 30, 1909","March 5, 2000","New York, New York",1909,2000.0
Dorothy L. Bernstein,"April 11, 1914","February 5, 1988","Chicago, Illinois",1914,1988.0
Laura Louise Rosenbaum,"January 21, 1908","January 16, 1980","Carrollton, Illinois",1908,1980.0
Marguerite Lenore Hedberg,"August 27, 1907","August 27, 2002","Kirksville, Missouri",1907,2002.0
